URL,Site Name,Site Title,CITY,Office,Group,Phase,id,post,office_name,country,state,address,email,fax,mail_instructions,phone,post_type,X13
/sites/GM/Asia/India/Hyderbad,Hyderabad,Hyderabad,Hyderabad,GM-CS Asia-Field-India-Hyderabad,Asia-Field-IndiaHyderabad_AllUsers,GM-International,e6520a4f86c8bf710091421e9fa868edce3be27d,Hyderabad,Hyderabad,IN,null,"# 152, Hotel Taj Deccan, Banjara Hills,Hyderabad - 500 034. INDIA",office.hyderabad@trade.gov,+91 40 2330 0130,,+91 40 2330 5000,2330 4025,
/sites/GM/MEA/Africa/SouthAfrica/Johannesburg,Johannesburg,Johannesburg,Johannesburg,GM-CS MEA-Field-Africa-SouthAfrica-Johannesburg,GM-CS_MEA-Field-Africa-SouthAfrica-Johannesburg_AllUsers,GM-International,0a09a1d44ecf5343bb52d5f04b7866340e0dc028,Johannesburg,Johannesburg,ZA,null,"1 Sandton Drive,Sandhurst, 2196,Johannesburg",office.johannesburg@trade.gov,27 11 884 0253,"Please note that shipments to the Washington, DC address will take approximately three weeks to arrive in South Africa.",27 11 290 3120,F,
/sites/GM/USA/MidWest/KansasCity,Kansas-City,Kansas City,Kansas City,GM-CS USA-Field-MidWest-KansasCity,USA-Field-MidWest-KansasCity_AllUsers,GM-USA,850ff6fb2d691db86da8735936ceb76d0768f2a9,Midwest Network Dir,"Regional Director, Midwest Network",US,IL,"1000 Walnut, Suite 500,Kansas City, MO 64106",regina.heise@trade.gov,816-471-7839,,816-421-1932,D,
/sites/GM/WH/Canada/Calgary,Calgary,Calgary,Calgary,GM-CS WH-Field-Canada-Calgary,WH-Field-CanadaCalgary_AllUsers,GM-International,1eba81b70bce2d8cc37d84c1971e22ab45924841,Calgary,Calgary - GBI Post,CA,null,"10th floor,615 Macleod Trail SE,Calgary AB   T2G 4T8",Office.Calgary@trade.gov,403-266-4743,,403-265-2116,F,
/sites/GM/WH/Canada/Montreal,Montreal,Montreal,Montreal,GM-CS WH-Field-Canada-Montreal,WH-Field-CanadaMontreal_AllUsers,GM-International,167e2290aca67c1a93f379d06d9f6bc1737ae119,Montreal,Montreal,CA,null,"1155 St-Alexander St.,Montreal, Quebec H3B 3Z1",Office.Montreal@trade.gov,514-398-0711,,"514-398-9695, ext. 2220",F,
/sites/GM/USA/Northeast/Buffalo,Buffalo,Buffalo,Buffalo,GM-CS USA-Field-NorthEast-Buffalo,USA-Field-NorthEast-Buffalo_AllUsers,GM-USA,bf01725e88d1ee9e357a329447ab7ee7030be2a4,Buffalo,U.S. Commercial Service - Buffalo,US,NY,"130 S. Elmwood Ave., Suite 530,Buffalo, NY 14202,http://www.export.gov/newyork/bflorochsyr",rosanna.masucci@trade.gov,716-551-5290,,716-551-4191,D,
/sites/GM/MEA/Africa/AddisAbaba,Ethiopia,Ethiopia,Addis Ababa,GM-CS MEA-Field-Africa-AddisAbaba,GM-CS_MEA-Field-Africa-AddisAbaba_AllUsers,GM-International,00c40e194655b6065a704e7581551e5348fad3f9,Addis Ababa,"Ethiopia, Addis Ababa US Embassy",ET,null,"14 Entoto Rd,Addis Ababa",Office.Ethiopia@Trade.gov,(251-11) 124-2406,,(251-11) 130-6683,F,
/sites/GM/USA/Northeast/NewYork,New-York,New York,New York,GM-CS USA-Field-NorthEast-NewYork,USA-Field-NorthEast-NewYork_AllUsers,GM-USA,f907f8d0fb1cbfb7e54e9d8071ca0367ca3ba050,Harlem,U.S. Commercial Service - Harlem,US,NY,"163 W. 125th St., Suite 901,New York, NY 10027,http://www.export.gov/newyork/harlem/",Office.Harlem@trade.gov,212-860-6203,,212-860-6200,D,
/sites/GM/Asia/India/Chennai,Chennai,Chennai,Chennai,GM-CS Asia-Field-India-Chennai,Asia-Field-IndiaChennai_AllUsers,GM-International,beb3ec2a7cdbbc3400bc405f7f5a34e327d385af,Chennai,Chennai,IN,null,"220 Anna Salai,Chennai 600006",office.chennai@trade.gov,+91 44 2857 4212,,+91 44 2857 4477,F,
/sites/GM/USA/Southwest/Austin,Austin,Austin,Austin,GM-CS USA-Field-Southwest-Austin,USA-Field-Southwest-Austin_AllUsers,GM-USA,1fc6e94249a1a305e620574576cd7e38a0324dc9,Austin,U.S. Commercial Service - Austin,US,TX,"221 E. 11th St., 4th Floor,Austin, TX 78701,www.export.gov/texas/austin/",Karen.Parker@trade.gov,512-916-5940,,512-916-5939,D,
