Office,country,state,address,email,fax,phone
GM-CS Asia-Field-India-Hyderabad,IN,null,"# 152, Hotel Taj Deccan, Banjara Hills,Hyderabad - 500 034. INDIA",office.hyderabad@trade.gov,+91 40 2330 0130,+91 40 2330 5000
GM-CS MEA-Field-Africa-SouthAfrica-Johannesburg,ZA,null,"1 Sandton Drive,Sandhurst, 2196,Johannesburg",office.johannesburg@trade.gov,27 11 884 0253,27 11 290 3120
GM-CS USA-Field-MidWest-KansasCity,US,IL,"1000 Walnut, Suite 500,Kansas City, MO 64106",regina.heise@trade.gov,816-471-7839,816-421-1932
GM-CS WH-Field-Canada-Calgary,CA,null,"10th floor,615 Macleod Trail SE,Calgary AB   T2G 4T8",Office.Calgary@trade.gov,403-266-4743,403-265-2116
GM-CS WH-Field-Canada-Montreal,CA,null,"1155 St-Alexander St.,Montreal, Quebec H3B 3Z1",Office.Montreal@trade.gov,514-398-0711,"514-398-9695, ext. 2220"
GM-CS USA-Field-NorthEast-Buffalo,US,NY,"130 S. Elmwood Ave., Suite 530,Buffalo, NY 14202,http://www.export.gov/newyork/bflorochsyr",rosanna.masucci@trade.gov,716-551-5290,716-551-4191
GM-CS MEA-Field-Africa-AddisAbaba,ET,null,"14 Entoto Rd,Addis Ababa",Office.Ethiopia@Trade.gov,(251-11) 124-2406,(251-11) 130-6683
GM-CS USA-Field-NorthEast-NewYork,US,NY,"163 W. 125th St., Suite 901,New York, NY 10027,http://www.export.gov/newyork/harlem/",Office.Harlem@trade.gov,212-860-6203,212-860-6200
GM-CS Asia-Field-India-Chennai,IN,null,"220 Anna Salai,Chennai 600006",office.chennai@trade.gov,+91 44 2857 4212,+91 44 2857 4477
GM-CS USA-Field-Southwest-Austin,US,TX,"221 E. 11th St., 4th Floor,Austin, TX 78701,www.export.gov/texas/austin/",Karen.Parker@trade.gov,512-916-5940,512-916-5939
GM-CS USA-Field-PacificNorth-Anchorage,US,AK,"222 West 7th Avenue, Suite 524,Anchorage, AK 99513,http://www.export.gov/alaska/",Debra.Franklin@trade.gov,,907-271-6237
GM-CS USA-Field-PacificSouth-NewportBeach,US,CA,"2302 Martin Court, Suite 315,Irvine, CA 92612,http://export.gov/california/irvine",OfficeIrvine@trade.gov,949-660-1338,949-660-1688
GM-CS USA-Field-MidWest-Chicago,US,IL,"233 North Michigan Avenue,Suite 260,Chicago, IL 60601,http://export.gov/illinois",Office.Chicago@trade.gov,312-353-8120,312-353-8040
GM-CS USA-Field-NorthEast-NewYork,US,NY,"290 Broadway, Suite 1312,New York, NY 10007,http://www.export.gov/newyork/",Office.NewYork@trade.gov,212-809-2687,212-809-2675
GM-CS Asia-Field-Pakistan-Karachi,PK,null,"3, 4, 5, New TPX Area, Mai Kolachi Road,,Karachi, Pakistan.",Malik.Attiq@trade.gov,92-21-3561-2413,92-21-3527-5017
GM-CS EUR-Field-EURASIA-Kiev,UA,null,"4,Igor Sikorsky Street (formerly Tankova St.),Kyiv, Ukraine 04112",office.kiev@trade.gov,380 (44) 521-5727,380 (44) 521-5244
GM-CS USA-Field-NorthEast-Rochester,US,NY,"400 Andrews St., Suite 300,Rochester, NY  14604,http://www.export.gov/newyork/bflorochsyr",Timothy.McCall@trade.gov,585-423-7570,585-399-7065
GM-CS USA-Field-MidAtlantic-Richmond,US,VA,"400 N. 8th St., Suite 1028,Richmond, VA  23219,http://www.export.gov/virginia",joshua.kaplan@trade.gov,,804-461-9324
GM-CS Asia-Field-Taiwan-Kaohsiung,TW,null,"5 FL. No. 88, Chenggong 2nd Road, Kaohsiung 80661, Taiwan",Office.Kaohsiung@trade.gov,88673380551,88673355006 Ext. 6120
GM-CS China-Field-China-Shenyang,CN,null,"52 Shi Si Wei Road, Heping District,Shenyang, 110003",Taylor.Moore@trade.gov,011-86-24-2322-2206,011-86-24-2322-1198
GM-CS Asia-Field-India-Ahmedabad,IN,null,"5th Floor, Radisson Blu Hotel, Panchvati Cross Road,Off. C G Road, Ambawadi - 380 006",office.ahmedabad@trade.gov,+91 79 2656 0763,+91 79 2656 5210
GM-CS China-Field-China-Guangzhou,CN,null,"American Consulate General Guangzhou,US Commercial Service,NO.43 Hua Jiu Road, Zhujian New Town,Guangzhou, 510623,China",office.guangzhou@trade.gov,0086-20-3814-5310,0086-20-3814-5000
GM-CS China-Field-HongKong,HK,null,"American Consulate General,U.S. Commercial Service,26 Garden Road, Central,Hong Kong",office.hongkong@trade.gov,011-852-2845-9800,011-852-2521-1467
GM-CS EUR-Field-GEAUS-Germany-Frankfurt,DE,null,"American Consulate General,U.S. Commercial Service,Giessener Str. 30,60435 Frankfurt,Germany,http://www.export.gov/germany/",Office.Frankfurt@trade.gov,+49 69 7535 3171,+49 69 7535 3120
GM-CS EUR-Field-GEAUS-Germany-Munich,DE,null,"American Consulate General,U.S. Commercial Service,Koeniginstr. 5,80539 Munich",office.munich@trade.gov,+49 89 28 52 61,+49 89 2888 754
GM-CS MEA-Field-Gulf-UAE-Dubai,AE,null,"American Consulate General,U.S. Commercial Service,Umm Hurair 1, Bur Dubai,Dubai, U.A.E.",Office.Dubai@trade.gov,+971-4-354-7090,+971-4-309-4000
GM-CS EUR-Field-Italy-Milan,IT,null,"American Consulate General,U.S. Commercial Service,Via Principe Amedeo 2,20121 Milan,Italy",Office.Milan@trade.gov,011-39-02-659-6561,011-39-02-626-8851
GM-CS MEA-Field-Africa-Lagos,NG,null,"American Consulate General,US Commercial Service,2 Walter Carrington Crescent, Victoria Island,Lagos, Nigeria",Office.Lagos@trade.gov,N/A,011-234-1 460-3581
GM-CS Asia-Field-ANZ-Australia-Perth,AU,null,"American Consulate General,US Commercial Service,Level 4, 16 St. Georges Terrace,Perth WA 6000 Australia,http://www.export.gov/australia",office.australia@trade.gov,011-61-8-9231-9444,011-61-8-6144-5149
