id,post,office_name,country,state,city,address,email,fax,mail_instructions,phone,post_type,
2a1f6580ce17ec1c45dffdcab9390c7b22e0111e,Reno,Reno U.S. Export Assistance Center,US,NV,Reno,"Reno U.S. Export Assistance Center,c/o Reno Sparks Chamber of Commerce,449 S. Virginia, 2nd Floor,Reno, NV 89501,http://www.export.gov/nevada/reno",andrew.edlefsen@trade.gov,775-784-5343,,775-784-5342,D,
97c2d541d409913bfba6c5ece6fc1d4d56bd01f5,Anchorage,U.S. Commercial Service - Alaska,US,AK,Anchorage,"222 West 7th Avenue, Suite 524,Anchorage, AK 99513,http://www.export.gov/alaska/",Debra.Franklin@trade.gov,,,907-271-6237,D,
814f8931b5218ae5116b8d9181c007b9c10a9b62,Atlanta,Atlanta U.S. Export Assistance Center,US,GA,Atlanta,"Atlanta U.S. Export Assistance Center,230 Peachtree Street, Suite 1725,Atlanta, GA  30303,http://www.export.gov/georgia/",Office.Atlanta@trade.gov,404-730-4819,,404-730-2704,D,
1fc6e94249a1a305e620574576cd7e38a0324dc9,Austin,U.S. Commercial Service - Austin,US,TX,Austin,"221 E. 11th St., 4th Floor,Austin, TX 78701,www.export.gov/texas/austin/",Karen.Parker@trade.gov,512-916-5940,,512-916-5939,D,
6f8a763f9eb44c76df9e97cf31358513078c9320,Baltimore,Baltimore U.S. Export Assistance Center,US,MD,Baltimore,"Baltimore U.S. Export Assistance Center,300 West Pratt St., Suite 300,Baltimore, MD  21201,http://www.export.gov/maryland/",office.baltimore@trade.gov,410-962-4529,,410-962-4539,D,
c4ebdc7a3b33c4e3bd8fb31c5bf2a3bf4e9332e4,Birmingham,Birmingham U.S. Export Assistance Center,US,AL,Birmingham,"Birmingham U.S. Export Assistance Center,950 22nd Street North, Suite 773,Birmingham, AL  35203-5309,http://www.export.gov/alabama/",Robert.Stackpole@trade.gov,205-731-0076,,205-731-1331,D,
a3d6569d9ca25768668ddc7db74ecb0b46a12361,Boise,Boise U.S. Export Assistance Center,US,ID,Boise,"Boise U.S. Export Assistance Center,700 W. State St., 2nd Floor,Boise, ID 83720,http://www.export.gov/idaho",Amy.Benson@trade.gov,208-334-2631,,208-364-7791,D,
5fbc07116714cc3691cca44e9b96250caa8d631b,Boston,Boston U.S. Export Assistance Center,US,MA,Boston,"Boston U.S. Export Assistance Center,JFK Federal Building,55 New Sudbury St., Suite 1826A,Boston, MA 02203,http://www.export.gov/Massachusetts/",Office.Boston@trade.gov,617-565-4313,,617-565-4301,D,
bf01725e88d1ee9e357a329447ab7ee7030be2a4,Buffalo,U.S. Commercial Service - Buffalo,US,NY,Buffalo,"130 S. Elmwood Ave., Suite 530,Buffalo, NY 14202,http://www.export.gov/newyork/bflorochsyr",rosanna.masucci@trade.gov,716-551-5290,,716-551-4191,D,
24090ed001346f2990486c2ec4b6b482bcf1a811,CS Teams - HQ,Global Teams - Admin,US,,Portland,"CS Global Teams,U.S. Commercial Service,International Trade Administration,One World Trade Center,121 SW Salmon St., Suite 242,Portland, OR 97204",Brad.Anderson@trade.gov,503-326-6351,,503-326-3003,D,
8da6633757f221c19b2c3254b5dd328ed91a5610,Cabazon,Coachella Valley/Inland Empire USEAC,US,CA,null,"3110 East Guasti Rd, Suite 465,Ontario, California 91761 http://export.gov/california/ie",fred.latuperissa@trade.gov,909-390-5315,,909-390-8283,D,
8d36ef5890f9c0c6d4a8bd39505099b264ac412b,Central-Southern NJ,Central-Southern NJ U.S. Export Assistant Center,US,NJ,Lawrenceville,"Central-Southern NJ U.S. Export Assistant Center,(formerly Trenton USEAC),997 Lenox Drive, Suite 111,Lawrenceville, NJ 08648,http://www.export.gov/newjersey",Janice.Barlow@trade.gov,609-896-4249,,609-896-2734,D,
dc10849204daf5b2880547790c5bbca499737874,Charleston SC,"Charleston, SC U.S. Export Assistance Center",US,SC,North Charleston,"Charleston, SC U.S. Export Assistance Center,1362 McMillan Ave., Suite 100,North Charleston, SC 29405,http://www.export.gov/southcarolina/",Phil.Minard@trade.gov,843-529-0305,,843-746-3404,D,
db110507aff255dcd25ee175d3d316c92cf9b5e2,Charleston WV,"Charleston, WV U.S. Export Assistance Center",US,WV,Charleston,"Charleston, WV U.S. Export Assistance Center,1116 Smith St., Suite 314,Charleston, WV 25301,http://www.export.gov/westvirginia/",Leslie.Drake@trade.gov,304-347-5408,,304-347-5123,D,
19d47d036cebe2887428d3fab4b877d3f1879279,Charlotte,Charlotte U.S. Export Assistance Center,US,NC,Charlotte,"Charlotte U.S. Export Assistance Center,521 E. Morehead St., Suite 435,Charlotte, NC 28202,http://www.export.gov/northcarolina/",greg.sizemore@trade.gov,704-332-2681,,704-333-4886,D,
