id,post,office_name,country,state,city,address,email,fax,mail_instructions,phone,post_type
41935eeda16547473b812b8046e9ac190183cd2b,Osaka-Kobe,Osaka-Kobe,JP,null,Osaka-Kobe,"American Consulate General,US Commercial Service,2-11-5 Nishitenma, Kita-Ku,Osaka  530-8543",Office.Osaka-Kobe@trade.gov,81-6-6315-5963,"Regular post  or pouch mail using above Mailing Address, or international courier delivery using the above Street Address.",81-6-6315-5957,F
871b92b1cf8b06b118823a1179ab2a2f8f88dd39,Oslo,Oslo,NO,null,Oslo,"American Embassy,U.S. Commercial Service,Morgedalsvegen 36,0244 Oslo,Norway",office.oslo@trade.gov,n/a,http://export.gov/norway/,(47) 21 30 88 66,F
ca0ead9f7d1504712b3428f9028f077db9e74134,Ottawa,Ottawa,CA,null,Ottawa,"American Embassy,US Commercial Service,490 Sussex Drive,Ottawa, Ontario K1N 1G8",Office.Ottawa@trade.gov,613/238-5999,,613/688-5217,F
b4db849dff0b19e1ec95430ac468fc9842a8bdf7,Panama City,Panama City,PA,null,Panama City,"Antigua Base de Clayton,Edificio 783,Calle Demetrio Basilio Lakas,Panama, Rep. de Panama",John.Coronado@trade.gov,(507) 317-5573,"For courier street address, for regular mail from any post  the mailing address",(507) 317-5000,F
5f89935fcd568697c731608c3f74a47ffb680785,Perth,Perth,AU,null,Perth,"American Consulate General,US Commercial Service,Level 4, 16 St. Georges Terrace,Perth WA 6000 Australia,http://www.export.gov/australia",office.australia@trade.gov,011-61-8-9231-9444,,011-61-8-6144-5149,F
7bdf8b5c63ceea68e2d23f308a27be318344d9ef,Recife,Recife,BR,null,Recife,"Rua Gonçalves Maia, 163 - Boa Vista,50070-060 - Recife – PE",Office.Recife@trade.gov,55-81-3231-1906,,55-81-3416-3075,F
812092d5ffb47f69bcec0422d3923750e1cbab84,Rio De Janeiro,Rio de Janeiro,BR,null,Rio De Janeiro,"Av. Presidente Wilson, 147 / 4º Andar,Rio De Janeiro  RJ  20030-020",Office.riodejaneiro@trade.gov,55-21-3823-2424,,55-21-3823-2000,F
0b85075747d4bb6ed9029846de994532227ad561,Riyadh,Riyadh,SA,null,Riyadh,"Street Address (not Mailing Address):,American Embassy,Abdullah al-Sahmi St.,Diplomatic Quarter,Riyadh 11693, Saudi Arabia,Mailing Address (Local):,American Embassy,P.O. Box 94309,Riyadh 11693, Saudi Arabia",Office.Riyadh@trade.gov,+966-(0)11-488-3237,Work Week: Saturday - Wednesday,+966-(0)11-488-3800,F
7df8b7b065c6550b7f9c5c27b6cecbdcc2162072,Rome,Rome,IT,null,Rome,"American Embassy,U.S. Commercial Service,Via Vittorio Veneto 119/A,00187 Rome,Italy",Office.Rome@trade.gov,011-39-06-4674-2113,,011-39-06-4674-2382,F
34712ca1afb59cffcc49ae2e9f86fc01ca47461d,San Jose,Costa Rica,CR,null,San Jose,"Embajada de Estados Unidos FCS,Carretera a Pavas,Frente al Centro Commercial del Oeste,Pavas, San Jose",Office.SanJose@trade.gov,506 2231-4783,"If sent via UPS or Fedex,  please write down ""Diplomatic Cargo"" (to avoid import duties and waiting time on delivery)",506 2220-2454,F
